feature,coef
f_higher_lows_3m,-0.197092
f_first_signal_today,0.126313
f_avg_trade_size_60s,0.122133
f_btc_rel_ret_5m,0.108415
f_cvd_30s,-0.097622
f_step_3m,-0.093407
f_spread_bps_at_entry,0.090459
f_bid_depth_usd,0.084056
f_btc_dom_pct,-0.077553
f_step_1m,-0.074756
f_large_trade_pct_60s,-0.070226
f_fear_greed,-0.069633
f_signals_24h,-0.061479
f_cvd_60s,-0.060878
f_vwap_300s,0.060096
f_step_2m,0.058994
f_secs_since_onset,-0.055939
f_signals_1h,0.050101
f_cg_trending,-0.045491
f_ask_depth_trend,-0.043607
f_rank_60s,0.041873
f_total_3m,0.041827
f_ret_24h,0.023483
f_ask_depth_usd,0.018884
f_utc_hour,0.016591
f_market_breadth_5m,-0.008888
f_candle_close_str_1m,0.007995
f_book_imbalance_10,-0.007712
f_spread_bps,0.001930
f_bn_oi_delta_60s,0.000000
f_btc_ret_1h,0.000000
