stop_pct,n_trades,n_days,win_rate,mean_net_pct,median_net_pct,ci_lo,ci_hi,total_return,sharpe
0.01,60,6,0.4,0.002467717046737537,-0.0124,-0.0029745533100357944,0.009282335636471161,1.4745702442612973,7.447515140896135
0.015,61,6,0.4098360655737705,0.000484992217609162,-0.012771375370032267,-0.005441192728637056,0.00679267127666813,0.2774543045955813,1.3346165155909089
0.02,64,6,0.453125,0.00021024432757992591,-0.004104162029610502,-0.005842804166631705,0.006633579299158458,0.1140268502811681,0.5957592698970011
0.025,64,6,0.453125,-0.0006645171952015709,-0.004104162029610502,-0.006864309729917523,0.005780680808826064,-0.44642433831488804,-1.9085399110373156
0.03,69,6,0.4927536231884058,-0.0005786966159359004,-0.0027861313930634163,-0.006932940290343936,0.005729989759970867,-0.4228204392662138,-1.9324020706608036
0.035,69,6,0.5072463768115942,-0.0001248497176495637,0.000481418511740122,-0.006668960840793287,0.006088516734350405,-0.11135444664602812,-0.4517424626085016
0.04,69,6,0.5072463768115942,-0.0008494873988089835,0.000481418511740122,-0.007807299109952087,0.005575777481453301,-0.6115419179762105,-2.6302440607633866
0.045,69,6,0.5072463768115942,-0.0015741250799684039,0.000481418511740122,-0.008970342588212957,0.005003513299625063,-1.1094740617357712,-4.5410237732128484
0.05,69,6,0.5072463768115942,-0.002298762761127825,0.000481418511740122,-0.010046791690921993,0.004469093009769981,-1.6051599217397294,-6.180147000924842
0.055,69,6,0.5072463768115942,-0.0030234004422872436,0.000481418511740122,-0.011098409892148674,0.00412549189602973,-2.098608510054567,-7.568392586615789
0.06,69,6,0.5072463768115942,-0.0030219910705672082,0.000481418511740122,-0.011410966256875023,0.0048240937200425054,-2.0990535272173427,-7.5538748841655865
0.07,69,6,0.5072463768115942,-0.0001437626889198491,0.000481418511740122,-0.007480604206215301,0.006763522541392587,-0.12962934856785013,-0.7044879110162536
0.08,69,6,0.5072463768115942,0.00039933680292141455,0.000481418511740122,-0.00676179280607333,0.007297696707278639,0.24629000749196717,1.4106960370807788
0.1,69,6,0.5072463768115942,0.0014358394273253977,0.000481418511740122,-0.005166345841671023,0.007811848249495438,0.9695930991291624,4.235622032935086
