threshold,feature,auc,auc_ci_lo,auc_ci_hi,discrim,direction,ks,n,coverage,n_pos,pos_median,pos_p25,pos_p75,neg_median,neg_p25,neg_p75
0.1,f_fear_greed,0.6773,0.6459,0.7081,0.1773,+,0.3322,3891,0.96,239,23.0,21.0,26.0,21.0,12.0,23.0
0.1,f_btc_dom_pct,0.6215,0.5861,0.6596,0.1215,+,0.1792,3882,0.958,238,57.29,57.13,57.5925,57.22,56.93,57.32
0.1,f_spread_bps,0.4053,0.3699,0.4428,0.0947,-,0.1673,3921,0.967,239,8.7,5.25,16.4,12.3,6.2,19.8
0.1,f_signals_24h,0.423,0.3869,0.4581,0.077,-,0.149,3888,0.959,239,9.0,3.5,29.0,16.0,5.0,50.0
0.1,f_rank_60s,0.4408,0.4089,0.4718,0.0592,-,0.1291,3048,0.752,204,1.0,1.0,2.0,1.0,1.0,2.0
0.1,f_cvd_60s,0.4478,0.4087,0.4844,0.0522,-,0.1417,3888,0.959,239,-1419.41,-9259.9,570.42,-242.77,-6248.15,1255.65
0.1,f_signals_1h,0.4505,0.4119,0.4914,0.0495,-,0.0909,3888,0.959,239,4.0,2.0,8.5,5.0,3.0,9.0
0.1,f_ret_24h,0.5426,0.5076,0.5764,0.0426,+,0.1073,3888,0.959,239,0.38305,0.16346,0.810545,0.32661,0.12242,0.70291
0.1,f_cvd_30s,0.4575,0.4209,0.4957,0.0425,-,0.1001,3888,0.959,239,-581.39,-6445.25,493.685,-75.67,-4326.73,774.49
0.1,f_spread_bps_at_entry,0.4579,0.4241,0.4942,0.0421,-,0.0973,4054,1.0,242,13.490244,8.230634,20.468235,15.438057,8.043188,22.389477
0.1,f_book_imbalance_10,0.53,0.4887,0.5687,0.03,+,0.0996,3479,0.858,220,1.085,0.659,2.09925,0.866,0.613,2.02
0.1,f_utc_hour,0.5088,0.4777,0.5495,0.0088,+,0.0388,3888,0.959,239,10.0,4.5,17.0,10.0,4.0,16.0
0.1,f_btc_ret_1h,0.5,0.5,0.5,0.0,+,0.0,3891,0.96,239,0.0,0.0,0.0,0.0,0.0,0.0
0.3,f_fear_greed,0.7675,0.6957,0.8237,0.2675,+,0.5275,3891,0.96,23,23.0,23.0,28.0,21.0,12.0,23.0
0.3,f_rank_60s,0.3061,0.297,0.3138,0.1939,-,0.3878,3048,0.752,21,1.0,1.0,1.0,1.0,1.0,2.0
0.3,f_btc_dom_pct,0.6855,0.5708,0.7923,0.1855,+,0.2898,3882,0.958,23,57.35,57.215,57.85,57.23,56.94,57.33
0.3,f_cvd_60s,0.3462,0.2692,0.4259,0.1538,-,0.3568,3888,0.959,23,-2550.74,-12409.985,-127.59,-321.01,-6389.17,1254.05
0.3,f_spread_bps,0.3593,0.2692,0.4557,0.1407,-,0.3042,3921,0.967,23,7.9,5.65,10.35,12.0,6.2,19.7
0.3,f_cvd_30s,0.3629,0.2729,0.4625,0.1371,-,0.3425,3888,0.959,23,-1876.72,-7115.57,-27.29,-83.98,-4384.56,776.84
0.3,f_signals_24h,0.3793,0.2812,0.4819,0.1207,-,0.3262,3888,0.959,23,8.0,3.0,12.0,15.0,4.0,48.0
0.3,f_book_imbalance_10,0.4101,0.2785,0.5526,0.0899,-,0.2543,3479,0.858,19,0.785,0.21,1.1415,0.882,0.613,2.026
0.3,f_spread_bps_at_entry,0.4108,0.2912,0.514,0.0892,-,0.2749,4054,1.0,23,10.893246,8.441681,16.59751,15.333896,8.054782,22.234582
0.3,f_ret_24h,0.5763,0.4547,0.6912,0.0763,+,0.2771,3888,0.959,23,0.26678,0.184705,1.5306,0.3283,0.12337,0.70884
0.3,f_signals_1h,0.4243,0.3237,0.5213,0.0757,-,0.1969,3888,0.959,23,4.0,3.0,6.5,5.0,3.0,9.0
0.3,f_utc_hour,0.4897,0.3922,0.5989,0.0103,-,0.1645,3888,0.959,23,8.0,5.5,14.5,10.0,4.0,16.0
0.3,f_btc_ret_1h,0.5,0.5,0.5,0.0,+,0.0,3891,0.96,23,0.0,0.0,0.0,0.0,0.0,0.0
