target,feature,horizon,threshold,n,n_pos,base_rate,auc,auc_ci_lo,auc_ci_hi,discrim,direction,pos_median,neg_median,top_q_wr,bot_q_wr,coverage
p_gain_30pct,f_fear_greed,fwd_max_max,0.3,3779,22,0.005821645938078857,0.7789,0.699,0.8324,0.2789,+,23.0,21.0,1.54,0.06,0.959
p_gain_30pct,f_btc_rel_ret_5m,fwd_max_max,0.3,1877,21,0.011188066062866276,0.7167,0.5781,0.8488,0.2167,+,0.04205,0.01298,3.18,0.42,0.476
p_gain_30pct,f_rank_60s,fwd_max_max,0.3,2941,20,0.006800408024481469,0.3073,0.2986,0.317,0.1927,-,1.0,1.0,0.0,1.1,0.746
p_gain_30pct,f_btc_dom_pct,fwd_max_max,0.3,3770,22,0.005835543766578249,0.6878,0.5903,0.7816,0.1878,+,57.315,57.22,1.14,0.0,0.956
p_gain_10pct,f_fear_greed,fwd_max_max,0.1,3779,224,0.05927494046043927,0.6766,0.6453,0.711,0.1766,+,23.0,21.0,11.54,2.62,0.959
p_gain_5pct_5m,f_btc_rel_ret_5m,fwd_max_5m,0.05,1877,298,0.15876398508257858,0.6707,0.6385,0.7044,0.1707,+,0.031384999999999996,0.01211,34.39,7.64,0.476
p_gain_30pct,f_candle_close_str_1m,fwd_max_max,0.3,1877,21,0.011188066062866276,0.6638,0.5586,0.7774,0.1638,+,1.0,0.879,2.0,0.43,0.476
p_gain_3pct_5m,f_btc_rel_ret_5m,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.6623,0.6303,0.6891,0.1623,+,0.02887,0.01163,46.71,13.16,0.476
p_gain_30pct,f_cg_trending,fwd_max_max,0.3,1877,21,0.011188066062866276,0.3413,0.2896,0.416,0.1587,-,0.0,0.0,0.26,1.71,0.476
p_gain_1pct_5m,f_ret_24h,fwd_max_5m,0.01,3776,1666,0.4412076271186441,0.6517,0.6335,0.666,0.1517,+,0.42777,0.22333,55.13,17.99,0.958
p_gain_2pct_5m,f_ret_24h,fwd_max_5m,0.02,3776,999,0.2645656779661017,0.6505,0.6333,0.6685,0.1505,+,0.49172,0.27679,36.3,7.83,0.958
p_gain_30pct,f_spread_bps,fwd_max_max,0.3,3809,22,0.005775794171698608,0.3535,0.2636,0.4519,0.1465,-,7.9,12.5,0.21,0.94,0.966
p_gain_30pct,f_cvd_60s,fwd_max_max,0.3,3776,22,0.005826271186440678,0.3546,0.2743,0.4348,0.1454,-,-2520.38,-240.85000000000002,0.0,0.64,0.958
p_gain_30pct,f_avg_trade_size_60s,fwd_max_max,0.3,1877,21,0.011188066062866276,0.355,0.2227,0.4989,0.145,-,84.73,141.32,0.64,2.13,0.476
p_gain_3pct_5m,f_ret_24h,fwd_max_5m,0.03,3776,701,0.18564618644067796,0.6423,0.6225,0.6631,0.1423,+,0.51868,0.29627,27.3,5.5,0.958
p_gain_2pct_5m,f_btc_rel_ret_5m,fwd_max_5m,0.02,1877,610,0.32498668087373467,0.6415,0.6106,0.6699,0.1415,+,0.02133,0.01103,56.9,21.44,0.476
p_gain_1pct_5m,f_btc_rel_ret_5m,fwd_max_5m,0.01,1877,920,0.49014384656366544,0.6414,0.617,0.6651,0.1414,+,0.017625000000000002,0.00974,73.25,33.55,0.476
p_gain_5pct_5m,f_fear_greed,fwd_max_5m,0.05,3779,429,0.1135220957925377,0.64,0.6129,0.6691,0.14,+,23.0,21.0,18.12,6.71,0.959
p_gain_5pct_5m,f_ret_24h,fwd_max_5m,0.05,3776,429,0.11361228813559322,0.6329,0.606,0.6563,0.1329,+,0.51868,0.30679,17.35,2.43,0.958
p_gain_30pct,f_signals_24h,fwd_max_max,0.3,3776,22,0.005826271186440678,0.3688,0.2607,0.4679,0.1312,-,8.0,15.0,0.42,0.91,0.958
p_gain_10pct,f_btc_rel_ret_5m,fwd_max_max,0.1,1877,174,0.09270111880660628,0.6297,0.5796,0.6748,0.1297,+,0.028075,0.0127,18.47,6.37,0.476
p_gain_30pct,f_cvd_30s,fwd_max_max,0.3,3776,22,0.005826271186440678,0.3736,0.2913,0.458,0.1264,-,-1876.72,-64.28999999999999,0.11,0.63,0.958
p_gain_3pct_5m,f_fear_greed,fwd_max_5m,0.03,3779,701,0.1854988092087854,0.6186,0.5974,0.6434,0.1186,+,21.0,21.0,27.94,13.42,0.959
p_gain_5pct_max,f_btc_rel_ret_5m,fwd_max_max,0.05,1877,408,0.21736814064997337,0.6162,0.5824,0.6476,0.1162,+,0.02042,0.01193,37.79,16.14,0.476
p_gain_5pct_5m,f_spread_bps,fwd_max_5m,0.05,3809,430,0.11289052244683644,0.3851,0.3583,0.4147,0.1149,-,8.0,13.0,7.23,16.41,0.966
p_gain_10pct,f_btc_dom_pct,fwd_max_max,0.1,3770,223,0.059151193633952256,0.6145,0.5743,0.6525,0.1145,+,57.27,57.22,8.48,2.21,0.956
p_gain_5pct_5m,f_btc_dom_pct,fwd_max_5m,0.05,3770,428,0.11352785145888594,0.6126,0.5797,0.6438,0.1126,+,57.28,57.21,17.99,5.78,0.956
p_gain_5pct_5m,f_cvd_60s,fwd_max_5m,0.05,3776,429,0.11361228813559322,0.3899,0.3619,0.4155,0.1101,-,-2745.44,-27.45,7.51,16.21,0.958
