feature,coverage_pct,median,p25,p75,direction_5pct_5m,auc_1pct_5m,auc_2pct_5m,auc_3pct_5m,auc_5pct_5m,auc_5pct_max,auc_10pct_max,auc_30pct_max,top_q_wr_5pct_5m,bot_q_wr_5pct_5m,best_threshold,best_threshold_lift
f_ask_depth_trend,51.5,1,0.823,1.11275,-,0.4767,0.4598,0.4516,0.4464,0.4492,0.4424,0.5435,0.1348,0.2033,<0.5192,1.29
f_ask_depth_usd,46.1,4826.31,1689.04,12054.5,-,0.5002,0.4785,0.4827,0.4859,0.4763,0.4867,0.5905,0.1487,0.1752,<1362,1.14
f_avg_trade_size_60s,51.5,141.96,71.6975,253.4,+,0.5538,0.5351,0.5455,0.5489,0.5386,0.5109,0.3769,0.2036,0.1475,≥433.9,1.30
f_bid_depth_usd,46.1,5689.26,1995.72,15992.8,+,0.5332,0.5014,0.5168,0.5187,0.5111,0.5059,0.5242,0.1707,0.1527,≥3915,1.07
f_book_imbalance_10,86.4,0.901,0.6045,2.0505,+,0.5109,0.5088,0.5239,0.5137,0.5046,0.5400,0.4092,0.1370,0.1293,≥5.423,1.22
f_btc_dom_pct,95.9,57.24,56.96,57.37,+,0.5631,0.5832,0.5938,0.6236,0.5691,0.6088,0.6590,0.1985,0.0678,≥57.42,1.76
f_btc_rel_ret_5m,51.5,0.013985,0.00533,0.03049,+,0.6340,0.6340,0.6481,0.6613,0.6151,0.6173,0.7227,0.3473,0.0726,≥0.04844,2.24
f_candle_close_str_1m,51.5,0.889,0.58325,1,+,0.5526,0.5266,0.5445,0.5511,0.5225,0.5257,0.6430,0.1755,0.1129,≥0.7982,1.15
f_cg_trending,51.5,0,0,1,-,0.4875,0.4830,0.4816,0.4709,0.4760,0.4468,0.3169,0.1477,0.1802,<1,1.09
f_coin_signal_share,100.0,0.290323,0.0735294,0.913043,+,0.5880,0.5713,0.5406,0.5209,0.5139,0.4664,0.4302,0.1295,0.0980,≥0.7128,1.09
f_coin_signals_4h,100.0,13,5,28,+,0.6061,0.5893,0.5554,0.5310,0.5161,0.4418,0.3549,0.1320,0.1108,≥32,1.21
f_cvd_30s,96.1,-91.41,-4408.3,791.82,-,0.4490,0.4525,0.4565,0.4300,0.4474,0.4656,0.3644,0.1133,0.1592,<-1.797e+04,1.53
f_cvd_60s,96.1,-468.19,-6737.8,1154.22,-,0.4240,0.4253,0.4269,0.3913,0.4284,0.4542,0.3520,0.0801,0.1729,<-2.342e+04,1.66
f_fear_greed,96.2,21,12,23,+,0.5924,0.6212,0.6313,0.6438,0.6003,0.6581,0.7326,0.1860,0.0671,≥39,1.63
f_first_signal_today,51.5,0,0,0,+,0.4948,0.4968,0.5019,0.5134,0.5118,0.5152,0.5322,0.1655,0.1612,≥1,1.19
f_higher_lows_3m,51.5,1,0,1,+,0.5415,0.5319,0.5308,0.5238,0.4955,0.4982,0.5458,0.1766,0.1494,≥1,1.07
f_large_trade_pct_60s,51.5,0,0,0,+,0.5178,0.5177,0.5242,0.5229,0.5331,0.5029,0.4868,0.1655,0.1562,<0.335,1.01
f_market_breadth_5m,51.5,4,2,6,+,0.4700,0.4698,0.4713,0.5007,0.5161,0.5249,0.5404,0.1721,0.1633,<1,1.18
f_perp_oi_change_1h,39.2,0,-0.0129238,0.0211961,+,0.5486,0.5352,0.5235,0.5347,0.5687,0.5724,0.5450,0.1271,0.1000,≥0.116,1.48
f_perp_oi_now,41.4,4.82887e+06,2.62649e+06,1.89098e+07,+,0.5036,0.5053,0.5077,0.5023,0.5382,0.4868,0.2475,0.1224,0.1041,≥2.72e+06,1.06
f_perp_vol_now,41.4,1.84709e+07,2.65554e+06,7.85998e+07,+,0.5583,0.5584,0.5508,0.5318,0.5591,0.4946,0.2932,0.1126,0.0787,≥1.457e+08,1.41
f_rank_60s,76.5,1,1,2,-,0.4688,0.4540,0.4623,0.4420,0.4511,0.4429,0.3077,0.1044,0.1644,<2,1.16
f_ret_24h,96.1,0.32591,0.12624,0.69621,+,0.6460,0.6421,0.6306,0.6227,0.5840,0.5430,0.5767,0.1768,0.0273,≥0.5933,1.42
f_secs_since_onset,51.5,6.9,0.2,30.8,+,0.5361,0.5091,0.5155,0.5016,0.4691,0.4885,0.4838,0.1418,0.1266,≥0,1.11
f_signals_1h,96.1,5,3,9,+,0.6014,0.5881,0.5596,0.5245,0.5075,0.4501,0.3912,0.1400,0.1124,≥10,1.22
f_signals_24h,96.1,15,4,47,-,0.5732,0.5481,0.5179,0.4883,0.4806,0.4233,0.3607,0.1197,0.1268,<2,1.13
f_spread_bps,96.9,10.8,6,19.4,-,0.4633,0.4244,0.4016,0.3802,0.4245,0.4080,0.3716,0.0723,0.1768,<3,1.52
f_spread_bps_at_entry,100.0,15.0592,7.88644,22.0123,-,0.5012,0.4761,0.4564,0.4361,0.4580,0.4615,0.4182,0.0854,0.1399,<6.387,1.29
f_universe_signals_24h,100.0,54,39,68,-,0.4551,0.4373,0.4362,0.4255,0.4447,0.3892,0.3147,0.0672,0.1503,<46,1.33
f_utc_hour,96.1,10,4,16,+,0.4677,0.4749,0.4985,0.5037,0.4814,0.5100,0.4888,0.1344,0.1221,<1,1.21
f_vwap_300s,51.5,0.110101,0.0323806,1.45825,-,0.4779,0.4699,0.4801,0.4742,0.5120,0.4802,0.5267,0.1330,0.1881,<0.02469,1.27
